"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 17:49:39 IST 2024","Thu Mar 14 17:49:46 IST 2024","7168","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testOrderSummary","testOrderSummary",""
"passed","Thu Mar 14 17:49:18 IST 2024","Thu Mar 14 17:49:29 IST 2024","10864","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testProductCheckout","testProductCheckout",""
"passed","Thu Mar 14 17:49:07 IST 2024","Thu Mar 14 17:49:18 IST 2024","11237","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testAddProductToCart","testAddProductToCart",""
"passed","Thu Mar 14 17:49:46 IST 2024","Thu Mar 14 17:49:47 IST 2024","812","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testOrderConfirmation","testOrderConfirmation",""
"passed","Thu Mar 14 17:49:06 IST 2024","Thu Mar 14 17:49:07 IST 2024","1130","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testLogin","testLogin",""
"passed","Thu Mar 14 17:49:29 IST 2024","Thu Mar 14 17:49:36 IST 2024","6437","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testSelectDelivery","testSelectDelivery",""
"passed","Thu Mar 14 17:49:29 IST 2024","Thu Mar 14 17:49:35 IST 2024","5852","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testSelectDelivery","testSelectDelivery",""
"passed","Thu Mar 14 17:49:07 IST 2024","Thu Mar 14 17:49:19 IST 2024","11477","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testAddProductToCart","testAddProductToCart",""
"passed","Thu Mar 14 17:48:47 IST 2024","Thu Mar 14 17:49:06 IST 2024","19137","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testRegisterUser","testRegisterUser",""
"passed","Thu Mar 14 17:49:46 IST 2024","Thu Mar 14 17:49:47 IST 2024","804","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testOrderConfirmation","testOrderConfirmation",""
"passed","Thu Mar 14 17:49:06 IST 2024","Thu Mar 14 17:49:07 IST 2024","1018","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testLogin","testLogin",""
"passed","Thu Mar 14 17:49:36 IST 2024","Thu Mar 14 17:49:39 IST 2024","3595","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testMakePayment","testMakePayment",""
"passed","Thu Mar 14 17:49:39 IST 2024","Thu Mar 14 17:49:46 IST 2024","7144","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testOrderSummary","testOrderSummary",""
"passed","Thu Mar 14 17:48:47 IST 2024","Thu Mar 14 17:49:06 IST 2024","18975","Juice shop Website Tests","Juice Shop end to End automation tests using edge browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testRegisterUser","testRegisterUser",""
"passed","Thu Mar 14 17:49:35 IST 2024","Thu Mar 14 17:49:39 IST 2024","4429","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testMakePayment","testMakePayment",""
"passed","Thu Mar 14 17:49:19 IST 2024","Thu Mar 14 17:49:29 IST 2024","10339","Juice shop Website Tests","Juice Shop end to End automation tests using chrome browser","tests.e2e.CompleteTest","tests.e2e.CompleteTest","testProductCheckout","testProductCheckout",""
